NumClients,DataSize,RingDimension,ClientID,T_KeyGen_MKCKKS_ms,T_KeyGen_ECDH_ms,T_KeyGen_Total_ms,T_Encrypt_ms,T_PartialDec_ms,T_MaskGen_ms,T_ClientTotal_ms
200,65536,131072,126,69.4891,0.683975,70.1731,118.916,35.4037,2649.39,2803.71
200,65536,131072,127,69.0547,0.674173,69.7289,117.138,34.5207,2553.53,2705.18
200,65536,131072,128,68.8951,0.698169,69.5932,119.719,35.1416,2586.17,2741.03
200,65536,131072,129,68.8698,0.678215,69.548,118.305,35.2679,2632.1,2785.68
200,65536,131072,130,68.9265,0.686327,69.6128,120.088,35.4088,2649.12,2804.61
200,65536,131072,131,69.224,0.686017,69.91,120.237,35.3587,2582.29,2737.88
200,65536,131072,132,71.3149,0.70014,72.0151,120.828,35.7362,2552.12,2708.68
200,65536,131072,133,68.1301,0.678014,68.8081,120.534,35.574,2584.01,2740.12
200,65536,131072,134,68.2428,0.692358,68.9351,120.681,35.6502,2581.9,2738.23
200,65536,131072,135,67.4651,0.691718,68.1568,118.376,34.563,2612.55,2765.49
200,65536,131072,136,67.3857,0.678675,68.0644,119.863,35.2126,2595.61,2750.68
200,65536,131072,137,68.1981,0.684836,68.883,118.614,35.9358,2579.64,2734.19
200,65536,131072,138,67.5618,0.693034,68.2548,122.634,36.2734,2573.16,2732.07
200,65536,131072,139,67.5453,0.700346,68.2456,118.66,34.3457,2603.28,2756.29
200,65536,131072,140,68.8045,0.700986,69.5055,119.747,35.5885,2569.87,2725.21
200,65536,131072,141,68.9323,0.694235,69.6265,119.112,35.1763,2570.32,2724.61
200,65536,131072,142,68.6172,0.689983,69.3072,117.151,34.2952,2570.32,2721.76
200,65536,131072,143,68.8181,0.682221,69.5003,119.238,35.4064,2584.55,2739.19
200,65536,131072,144,68.6231,0.67761,69.3007,116.388,34.2968,2606.69,2757.37
200,65536,131072,145,68.0556,0.709208,68.7648,120.457,35.5917,2538.76,2694.81
200,65536,131072,146,68.8105,0.690954,69.5014,120.196,35.445,2578.07,2733.71
